321.65 2.61
323.60 3.14
325.55 4.07
324.58 3.54
327.83 5.12
326.53 4.52
329.78 6.43
328.48 5.83
331.41 7.66
330.44 7.13
333.36 9.17
332.39 8.60
332.39 8.11
335.64 10.72
334.34 10.23
334.34 9.74
337.59 12.46
336.29 11.87
336.29 11.38
339.55 14.15
338.24 13.66
338.24 13.17
341.17 15.78
340.20 15.29
340.20 14.80
343.13 17.29
342.15 16.76
342.15 16.27
345.40 18.83
344.10 18.23
344.10 17.74
347.03 20.07
346.05 19.54
349.31 21.49
348.01 21.01
348.01 20.52
351.26 22.75
349.96 22.15
352.89 24.02
351.91 23.45
354.84 25.13
353.86 24.60
356.79 26.11
355.81 25.57
358.74 27.13
357.77 26.55
360.70 28.10
359.72 27.53
362.97 29.11
361.67 28.51
364.60 29.90
366.88 30.91
365.58 30.31
368.50 31.78
370.46 32.55
372.41 33.25
374.36 34.06
376.31 34.80
378.27 35.49
380.22 36.14
382.17 36.79
384.12 37.41
386.08 37.94
388.03 38.55
389.98 39.04
391.93 39.53
393.88 40.02
395.84 40.51
398.77 41.13
401.69 42.06
400.72 41.57
405.60 42.71
409.50 43.36
413.41 43.98
417.31 44.55
421.22 45.00
425.12 45.48
430.00 45.97
435.86 46.44
441.72 46.82
447.57 47.09
453.43 47.25
459.29 47.39
465.14 47.44
471.00 47.36
476.86 47.23
482.71 47.04
488.57 46.76
494.43 46.41
500.28 46.03
505.16 45.65
509.07 45.20
512.97 44.83
516.88 44.38
520.78 43.93
524.69 43.44
528.59 42.91
532.50 42.34
536.40 41.81
540.31 41.24
544.21 40.67
548.12 40.06
552.02 39.45
555.92 38.79
559.83 38.14
563.73 37.53
567.64 36.92
571.54 36.26
575.45 35.61
579.35 34.96
583.26 34.31
587.16 33.69
591.07 33.08
594.97 32.43
598.87 31.78
602.78 31.12
606.68 30.55
610.59 29.94
614.49 29.29
618.40 28.68
622.30 28.02
626.21 27.45
630.11 26.84
634.02 26.23
637.92 25.66
641.82 25.04
645.73 24.51
649.63 23.98
653.54 23.45
657.44 22.96
661.35 22.47
665.25 21.98
670.13 21.41
675.01 20.84
679.89 20.27
684.78 19.74
688.68 19.33
692.58 18.88
696.49 18.44
700.39 18.07
704.30 17.66
709.18 17.17
714.06 16.72
717.96 16.31
722.84 15.86
728.70 15.29
733.58 14.89
738.46 14.40
744.32 13.91
750.18 13.42
756.03 12.93
761.89 12.44
767.75 11.98
773.60 11.57
779.46 11.13
785.32 10.64
791.17 10.18
797.03 9.83
802.89 9.39
808.75 9.01
814.60 8.63
820.46 8.22
826.32 7.84
832.17 7.49
838.03 7.16
843.89 6.81
849.74 6.48
855.60 6.15
861.46 5.80
867.31 5.50
873.17 5.18
879.03 4.93
884.88 4.60
890.74 4.36
895.62 4.11
